feature_name,category,description,interpretation
aisle_1_prepared soups salads,aisle_preference,Proportion of items from prepared soups salads,Higher = user shops more in this aisle
aisle_2_specialty cheeses,aisle_preference,Proportion of items from specialty cheeses,Higher = user shops more in this aisle
aisle_3_energy granola bars,aisle_preference,Proportion of items from energy granola bars,Higher = user shops more in this aisle
aisle_4_instant foods,aisle_preference,Proportion of items from instant foods,Higher = user shops more in this aisle
aisle_5_marinades meat preparation,aisle_preference,Proportion of items from marinades meat preparation,Higher = user shops more in this aisle
aisle_6_other,aisle_preference,Proportion of items from other,Higher = user shops more in this aisle
aisle_7_packaged meat,aisle_preference,Proportion of items from packaged meat,Higher = user shops more in this aisle
aisle_8_bakery desserts,aisle_preference,Proportion of items from bakery desserts,Higher = user shops more in this aisle
aisle_9_pasta sauce,aisle_preference,Proportion of items from pasta sauce,Higher = user shops more in this aisle
aisle_10_kitchen supplies,aisle_preference,Proportion of items from kitchen supplies,Higher = user shops more in this aisle
aisle_11_cold flu allergy,aisle_preference,Proportion of items from cold flu allergy,Higher = user shops more in this aisle
aisle_12_fresh pasta,aisle_preference,Proportion of items from fresh pasta,Higher = user shops more in this aisle
aisle_13_prepared meals,aisle_preference,Proportion of items from prepared meals,Higher = user shops more in this aisle
aisle_14_tofu meat alternatives,aisle_preference,Proportion of items from tofu meat alternatives,Higher = user shops more in this aisle
aisle_15_packaged seafood,aisle_preference,Proportion of items from packaged seafood,Higher = user shops more in this aisle
aisle_16_fresh herbs,aisle_preference,Proportion of items from fresh herbs,Higher = user shops more in this aisle
aisle_17_baking ingredients,aisle_preference,Proportion of items from baking ingredients,Higher = user shops more in this aisle
aisle_18_bulk dried fruits vegetables,aisle_preference,Proportion of items from bulk dried fruits vegetables,Higher = user shops more in this aisle
aisle_19_oils vinegars,aisle_preference,Proportion of items from oils vinegars,Higher = user shops more in this aisle
aisle_20_oral hygiene,aisle_preference,Proportion of items from oral hygiene,Higher = user shops more in this aisle
aisle_21_packaged cheese,aisle_preference,Proportion of items from packaged cheese,Higher = user shops more in this aisle
aisle_22_hair care,aisle_preference,Proportion of items from hair care,Higher = user shops more in this aisle
aisle_23_popcorn jerky,aisle_preference,Proportion of items from popcorn jerky,Higher = user shops more in this aisle
aisle_24_fresh fruits,aisle_preference,Proportion of items from fresh fruits,Higher = user shops more in this aisle
aisle_25_soap,aisle_preference,Proportion of items from soap,Higher = user shops more in this aisle
aisle_26_coffee,aisle_preference,Proportion of items from coffee,Higher = user shops more in this aisle
aisle_27_beers coolers,aisle_preference,Proportion of items from beers coolers,Higher = user shops more in this aisle
aisle_28_red wines,aisle_preference,Proportion of items from red wines,Higher = user shops more in this aisle
aisle_29_honeys syrups nectars,aisle_preference,Proportion of items from honeys syrups nectars,Higher = user shops more in this aisle
aisle_30_latino foods,aisle_preference,Proportion of items from latino foods,Higher = user shops more in this aisle
aisle_31_refrigerated,aisle_preference,Proportion of items from refrigerated,Higher = user shops more in this aisle
aisle_32_packaged produce,aisle_preference,Proportion of items from packaged produce,Higher = user shops more in this aisle
aisle_33_kosher foods,aisle_preference,Proportion of items from kosher foods,Higher = user shops more in this aisle
aisle_34_frozen meat seafood,aisle_preference,Proportion of items from frozen meat seafood,Higher = user shops more in this aisle
aisle_35_poultry counter,aisle_preference,Proportion of items from poultry counter,Higher = user shops more in this aisle
aisle_36_butter,aisle_preference,Proportion of items from butter,Higher = user shops more in this aisle
aisle_37_ice cream ice,aisle_preference,Proportion of items from ice cream ice,Higher = user shops more in this aisle
aisle_38_frozen meals,aisle_preference,Proportion of items from frozen meals,Higher = user shops more in this aisle
aisle_39_seafood counter,aisle_preference,Proportion of items from seafood counter,Higher = user shops more in this aisle
aisle_40_dog food care,aisle_preference,Proportion of items from dog food care,Higher = user shops more in this aisle
aisle_41_cat food care,aisle_preference,Proportion of items from cat food care,Higher = user shops more in this aisle
aisle_42_frozen vegan vegetarian,aisle_preference,Proportion of items from frozen vegan vegetarian,Higher = user shops more in this aisle
aisle_43_buns rolls,aisle_preference,Proportion of items from buns rolls,Higher = user shops more in this aisle
aisle_44_eye ear care,aisle_preference,Proportion of items from eye ear care,Higher = user shops more in this aisle
aisle_45_candy chocolate,aisle_preference,Proportion of items from candy chocolate,Higher = user shops more in this aisle
aisle_46_mint gum,aisle_preference,Proportion of items from mint gum,Higher = user shops more in this aisle
aisle_47_vitamins supplements,aisle_preference,Proportion of items from vitamins supplements,Higher = user shops more in this aisle
aisle_48_breakfast bars pastries,aisle_preference,Proportion of items from breakfast bars pastries,Higher = user shops more in this aisle
aisle_49_packaged poultry,aisle_preference,Proportion of items from packaged poultry,Higher = user shops more in this aisle
aisle_50_fruit vegetable snacks,aisle_preference,Proportion of items from fruit vegetable snacks,Higher = user shops more in this aisle
aisle_51_preserved dips spreads,aisle_preference,Proportion of items from preserved dips spreads,Higher = user shops more in this aisle
aisle_52_frozen breakfast,aisle_preference,Proportion of items from frozen breakfast,Higher = user shops more in this aisle
aisle_53_cream,aisle_preference,Proportion of items from cream,Higher = user shops more in this aisle
aisle_54_paper goods,aisle_preference,Proportion of items from paper goods,Higher = user shops more in this aisle
aisle_55_shave needs,aisle_preference,Proportion of items from shave needs,Higher = user shops more in this aisle
aisle_56_diapers wipes,aisle_preference,Proportion of items from diapers wipes,Higher = user shops more in this aisle
aisle_57_granola,aisle_preference,Proportion of items from granola,Higher = user shops more in this aisle
aisle_58_frozen breads doughs,aisle_preference,Proportion of items from frozen breads doughs,Higher = user shops more in this aisle
aisle_59_canned meals beans,aisle_preference,Proportion of items from canned meals beans,Higher = user shops more in this aisle
aisle_60_trash bags liners,aisle_preference,Proportion of items from trash bags liners,Higher = user shops more in this aisle
aisle_61_cookies cakes,aisle_preference,Proportion of items from cookies cakes,Higher = user shops more in this aisle
aisle_62_white wines,aisle_preference,Proportion of items from white wines,Higher = user shops more in this aisle
aisle_63_grains rice dried goods,aisle_preference,Proportion of items from grains rice dried goods,Higher = user shops more in this aisle
aisle_64_energy sports drinks,aisle_preference,Proportion of items from energy sports drinks,Higher = user shops more in this aisle
aisle_65_protein meal replacements,aisle_preference,Proportion of items from protein meal replacements,Higher = user shops more in this aisle
aisle_66_asian foods,aisle_preference,Proportion of items from asian foods,Higher = user shops more in this aisle
aisle_67_fresh dips tapenades,aisle_preference,Proportion of items from fresh dips tapenades,Higher = user shops more in this aisle
aisle_68_bulk grains rice dried goods,aisle_preference,Proportion of items from bulk grains rice dried goods,Higher = user shops more in this aisle
aisle_69_soup broth bouillon,aisle_preference,Proportion of items from soup broth bouillon,Higher = user shops more in this aisle
aisle_70_digestion,aisle_preference,Proportion of items from digestion,Higher = user shops more in this aisle
aisle_71_refrigerated pudding desserts,aisle_preference,Proportion of items from refrigerated pudding desserts,Higher = user shops more in this aisle
aisle_72_condiments,aisle_preference,Proportion of items from condiments,Higher = user shops more in this aisle
